iter	Passed	Remaining
0	54	54255
1	93	46856
2	132	44134
3	172	42923
4	213	42453
5	252	41912
6	294	41819
7	333	41302
8	373	41123
9	414	41024
10	455	40958
11	498	41015
12	534	40608
13	576	40572
14	614	40354
15	653	40173
16	691	39967
17	729	39812
18	769	39719
19	807	39579
20	848	39533
21	885	39383
22	927	39385
23	965	39250
24	1008	39326
25	1046	39206
26	1087	39205
27	1125	39064
28	1160	38849
29	1195	38646
30	1233	38557
31	1272	38484
32	1309	38368
33	1345	38222
34	1383	38151
35	1421	38069
36	1456	37896
37	1492	37784
38	1528	37673
39	1571	37712
40	1609	37635
41	1645	37538
42	1681	37413
43	1720	37389
44	1754	37226
45	1789	37103
46	1825	37014
47	1862	36932
48	1897	36821
49	1933	36737
50	1969	36649
51	2006	36576
52	2039	36435
53	2074	36340
54	2110	36270
55	2151	36272
56	2188	36201
57	2226	36154
58	2266	36143
59	2305	36116
60	2340	36032
61	2382	36038
62	2420	36007
63	2456	35930
64	2495	35895
65	2536	35900
66	2571	35810
67	2611	35792
68	2649	35753
69	2691	35752
70	2727	35682
71	2761	35590
72	2796	35507
73	2829	35401
74	2864	35323
75	2899	35249
76	2936	35193
77	2971	35126
78	3009	35085
79	3045	35027
80	3081	34967
81	3120	34931
82	3165	34973
83	3215	35064
84	3265	35157
85	3306	35144
86	3351	35171
87	3393	35169
88	3439	35204
89	3479	35183
90	3521	35171
91	3565	35192
92	3606	35173
93	3648	35168
94	3694	35196
95	3731	35141
96	3776	35152
97	3817	35133
98	3858	35113
99	3900	35106
100	3945	35117
101	3986	35093
102	4028	35086
103	4070	35069
104	4108	35024
105	4153	35028
106	4189	34966
107	4224	34889
108	4259	34815
109	4294	34743
110	4334	34712
111	4371	34662
112	4410	34616
113	4443	34532
114	4480	34481
115	4516	34417
116	4551	34346
117	4585	34274
118	4617	34184
119	4652	34117
120	4689	34064
121	4722	33985
122	4756	33914
123	4791	33851
124	4826	33788
125	4865	33749
126	4901	33693
127	4935	33620
128	4968	33549
129	5010	33529
130	5045	33468
131	5081	33413
132	5116	33351
133	5149	33277
134	5183	33215
135	5220	33167
136	5255	33104
137	5291	33053
138	5331	33022
139	5366	32968
140	5402	32915
141	5440	32873
142	5472	32794
143	5505	32727
144	5543	32686
145	5581	32647
146	5616	32591
147	5654	32550
148	5689	32497
149	5723	32434
150	5761	32394
151	5799	32355
152	5838	32321
153	5879	32298
154	5915	32249
155	5952	32203
156	5991	32170
157	6028	32126
158	6066	32088
159	6101	32034
160	6140	31998
161	6175	31945
162	6215	31914
163	6257	31896
164	6301	31890
165	6346	31885
166	6395	31900
167	6441	31901
168	6489	31908
169	6537	31916
170	6580	31904
171	6615	31848
172	6655	31817
173	6697	31796
174	6735	31753
175	6776	31725
176	6816	31695
177	6855	31656
178	6894	31620
179	6931	31576
180	6966	31523
181	7005	31484
182	7040	31431
183	7077	31387
184	7109	31320
185	7143	31262
